"fishery_name","fishery","region","group","tag_recapture_group","tag_recapture_name"
"01.LL.ALL.1",1,1,"LL",1,"01.LL.ALL.1"
"02.LL.ALL.1",2,1,"LL",2,"02.LL.ALL.1"
"03.LL.US.1",3,1,"LL",3,"03.LL.US.1"
"04.LL.ALL.3",4,3,"LL",4,"04.LL.ALL.3"
"05.LL.OS.3",5,3,"LL",5,"05.LL.OS.3"
"06.LL.OS.2",6,2,"LL",6,"06.LL.OS.2"
"07.LL.ALL.2",7,2,"LL",7,"07.LL.ALL.2"
"08.LL.ALL.3",8,3,"LL",8,"08.LL.ALL.3"
"09.LL.ALL.3",9,3,"LL",9,"09.LL.ALL.3"
"10.LL.AU.4",10,4,"LL",10,"10.LL.AU.4"
"11.LL.ALL.4",11,4,"LL",11,"11.LL.ALL.4"
"12.LL.ALL.4",12,4,"LL",12,"12.LL.ALL.4"
"13.PS.ASS.3",13,3,"PS ASS",13,"PS.3"
"14.PS.UNA.3",14,3,"PS UNASS",13,"PS.3"
"15.PS.ASS.3",15,3,"PS ASS",14,"PS.3"
"16.PS.UNA.3",16,3,"PS UNASS",14,"PS.3"
"17.MISC.PH.2",17,2,"MISC",15,"MISC.2"
"18.HL.PHID.2",18,2,"MISC",15,"MISC.2"
"19.PS.JP.1",19,1,"PS",16,"19.PS.JP.1"
"20.PL.JP.1",20,1,"PL",17,"20.PL.JP.1"
"21.PL.ALL.3",21,3,"PL",18,"21.PL.ALL.3"
"22.PL.ALL.3",22,3,"PL",19,"22.PL.ALL.3"
"23.MISC.ID.2",23,2,"MISC",15,"MISC.2"
"24.PS.PHID.2",24,2,"PS",15,"MISC.2"
"25.PS.ASS.3",25,3,"PS ASS",20,"PS.3"
"26.PS.UNA.3",26,3,"PS UNASS",20,"PS.3"
"27.LL.AU.4",27,4,"LL",21,"27.LL.AU.4"
"28.PL.ALL.2",28,2,"PL",22,"28.PL.ALL.2"
"29.LL.ALL.4",29,4,"LL",23,"29.LL.ALL.4"
"30.PS.ASS.2",30,2,"PS ASS",24,"PS.2"
"31.PS.UNA.2",31,2,"PS UNASS",24,"PS.2"
"32.MISC.VN.2",32,2,"MISC",25,"32.MISC.VN.2"
"33.Index R1 (Fish 1)",33,1,"Index",33,"33.Index R1 (Fish 1)"
"34.Index R2 (Fish 7)",34,2,"Index",34,"34.Index R2 (Fish 7)"
"35.Index R3 (Fish 4)",35,3,"Index",35,"35.Index R3 (Fish 4)"
"36.Index R4 (Fish 11)",36,4,"Index",36,"36.Index R4 (Fish 11)"
