"tag_rep_group","tag_rep_name"
1,"RTTP-L"
2,"RTTP-L(US)*"
3,"RTTP-L(AU)"
4,"RTTP-S-3"
5,"RTTP-S-3"
6,"RTTP-S(PH,ID)-2"
7,"RTTP-S(JP)-1*"
8,"RTTP-P(JP)-1*"
9,"RTTP-P-3*"
10,"RTTP-P-3*"
11,"RTTP-SA-3"
12,"RTTP-SU-3"
13,"RTTP-P-2"
14,"RTTP-S-2*"
15,"RTTP-Z(VN)-2*"
16,"PTTP-L"
17,"PTTP-L(US)*"
18,"PTTP-L(AU)"
19,"PTTP-S-3"
20,"PTTP-S-3"
21,"PTTP-S(PH,ID)-2"
22,"PTTP-S(JP)-1*"
23,"PTTP-P(JP)-1*"
24,"PTTP-P-3*"
25,"PTTP-P-3*"
26,"PTTP-S-3"
27,"PTTP-P-2"
28,"PTTP-S-2*"
29,"PTTP-Z(VN)-2*"
30,"JPTP-L"
31,"JPTP-L(US)*"
32,"JPTP-L(AU)*"
33,"JPTP-S-3*"
34,"JPTP-S-3"
35,"JPTP-S(PH,ID)-1*"
36,"JPTP-S(JP)-1"
37,"JPTP-P(JP)-1"
38,"JPTP-P-3"
39,"JPTP-P-3"
40,"JPTP-S-3"
41,"JPTP-S-2*"
